FID	IID	wolbachia	MEN_SNP1	MEN_SNP2	MenEx3	inversionPC1	inversionPC2	inversionPC3	inversionPC4	inversionPC5	EigVal1	EigVal2	EigVal3	EigVal4	EigVal5
line_21	line_21	2	1	2	14.04921947	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0013	0.0279	0.0039	-0.001	-0.0144
line_26	line_26	1	1	1	16.08633009	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.088	-0.1942	-0.0932	0.0064	-0.0342
line_28	line_28	1	2	1	13.28367296	0.046680818	-0.281886165	0.749071583	-0.470407031	0.122041728	0.0253	0.0442	0.2391	0.0134	-0.0918
line_31	line_31	1	1	1	13.93686219	-0.226084412	-0.234696302	-0.696592525	-0.899755166	0.241816776	0.0075	0.0148	-0.0181	-0.0053	-0.0071
line_32	line_32	1	1	1	9.942571637	0.618210149	0.97399193	-0.087763876	0.103296233	0.032473127	0.1216	-0.2075	0.1221	0.0123	0.0009
line_38	line_38	1	-9	1	11.34002658	-0.238952484	-0.188832098	-0.598788795	-0.629799669	0.144345623	-0.0038	0.0404	-0.0095	-0.0129	0.0003
line_40	line_40	2	2	2	15.56589433	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0103	0.0369	-0.0284	-0.0194	-0.0113
line_45	line_45	1	2	1	12.59318542	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0063	0.0482	-0.0284	-0.0083	-0.0108
line_57	line_57	1	1	1	10.25980754	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0087	0.0449	-0.0206	-0.0096	-0.0014
line_59	line_59	1	-9	1	17.36494781	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0191	0.0178	0.2204	0.0174	0.0012
line_69	line_69	2	1	1	11.99048878	0.048430278	-0.298145627	0.827570214	-0.524704086	0.142129868	-0.0097	0.0537	-0.0102	-0.0046	-0.1326
line_75	line_75	2	2	2	12.1710943	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0129	0.0418	-0.0258	-0.0082	-0.0082
line_83	line_83	1	1	1	10.8388632	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0098	0.0415	-0.0209	-0.0075	-0.0141
line_85	line_85	1	2	1	13.78793532	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.016	-0.0159	-0.0404	-0.0006	-0.0274
line_88	line_88	1	-9	1	15.00388742	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0141	-0.0156	-0.0345	-0.0004	-0.0098
line_91	line_91	1	2	1	16.32526296	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0132	0.0434	-0.0078	-0.002	-0.001
line_93	line_93	1	2	1	11.74547396	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.097	-0.2073	-0.0888	0.0245	-0.038
line_100	line_100	2	1	1	11.71539278	0.715276173	-0.03633525	-0.807710875	-0.487088521	0.139488963	0.0096	0.0055	-0.0802	-0.0356	-0.0488
line_101	line_101	1	1	1	16.1789907	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0139	-0.0054	-0.0378	-0.0061	-0.0173
line_105	line_105	1	1	1	12.00095966	-0.238952484	-0.188832098	-0.598788795	-0.629799669	0.144345623	-0.0086	0.0487	-0.062	-0.035	-0.0313
line_109	line_109	1	2	1	21.94962434	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0106	-0.0112	-0.0392	-0.0118	-0.0132
line_129	line_129	1	1	1	18.98140879	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0071	0.0425	-0.0283	-0.0019	0.0048
line_136	line_136	2	1	1	13.42133497	-0.226084412	-0.234696302	-0.696592525	-0.899755166	0.241816776	-0.0035	0.0422	-0.0117	-0.0077	0.0013
line_142	line_142	2	2	1	17.27108674	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0009	0.0391	-0.0234	-0.0101	0.0029
line_149	line_149	2	1	1	14.80223056	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.003	0.0432	-0.0173	-0.0158	0.0008
line_153	line_153	2	1	1	12.41003307	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0155	0.0347	-0.0188	-0.0068	0.017
line_181	line_181	2	1	1	11.53759179	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0049	0.0319	-0.0264	-0.0149	0.001
line_189	line_189	2	2	1	16.46064036	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	-0.013	0.0429	-0.0568	-0.0329	-0.0357
line_195	line_195	1	1	1	12.21019031	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0053	0.0325	-0.0058	-0.0121	-0.0063
line_208	line_208	1	1	1	16.33141769	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0072	0.0431	-0.0262	-0.0109	-0.0103
line_217	line_217	1	1	1	9.557572455	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0064	0.0401	-0.0256	-0.0021	-0.0083
line_228	line_228	1	1	1	9.998631438	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.001	0.0335	-0.0256	-0.0053	-0.0171
line_235	line_235	1	2	1	16.2491813	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0077	0.0376	-0.0222	-0.0148	-0.0235
line_237	line_237	2	2	1	14.89063302	1.000909475	-0.129389317	0.540149503	-0.327695883	0.117185069	0.016	-0.0157	-0.0326	0.0059	-0.0172
line_239	line_239	1	2	1	15.75103133	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0228	0.0215	0.2061	0.0078	0.0134
