Block,Box,MenEx,DGRP,MenRep1,MenRep2,MenRep3
4,4,3,21,14.758,15.361,15.06
4,4,3,21,12.899,12.969,12.934
4,4,3,21,14.768,16.582,15.675
4,4,3,21,10.319,14.914,12.617
4,4,3,21,14.536,13.939,14.238
4,4,3,21,14.442,14.762,14.602
4,4,3,21,13.574,15.006,14.29
4,4,3,21,13.928,16.266,15.097
4,4,3,21,13.352,13.996,13.674
4,4,3,21,,15.59,15.59
4,4,76,21,8.846,9.579,9.213
4,4,76,21,8.537,7.999,8.268
4,4,76,21,8.906,,8.906
4,4,76,21,9.088,9.073,9.081
4,4,76,21,8.035,8.859,8.447
4,4,76,21,8.644,8.755,8.7
4,4,76,21,8.481,9.158,8.82
4,4,76,21,9.429,9.785,9.607
4,4,76,21,8.702,7.961,8.332
4,4,76,21,9.435,9.643,9.539
4,4,86,21,7.566,7.978,7.772
4,4,86,21,8.493,8.994,8.744
4,4,86,21,8.799,8.692,8.746
4,4,86,21,8.076,7.919,7.998
4,4,86,21,7.974,7.958,7.966
4,4,86,21,8.36,8.231,8.296
4,4,86,21,8.216,8.76,8.488
4,4,86,21,8.084,8.182,8.133
4,4,86,21,7.955,8.848,8.402
4,4,86,21,7.624,7.998,7.811
3,3,3,26,16.323,15.507,
3,3,3,26,14.797,14.89,
3,3,3,26,16.852,17.566,
3,3,3,26,16.874,17.139,
3,3,3,26,16.253,17.477,
3,3,3,26,16.576,,
3,3,3,26,14.367,15.074,
3,3,3,26,15.514,15.46,
3,3,3,26,15.101,15.541,
3,3,3,26,,15.741,
3,3,76,26,8.416,8.572,
3,3,76,26,9.119,9.212,
3,3,76,26,8.93,9.162,
3,3,76,26,8.117,8.06,
3,3,76,26,8.017,8.866,
3,3,76,26,7.509,7.875,
3,3,76,26,8.675,8.792,
3,3,76,26,8.308,,
3,3,76,26,8.479,8.476,
3,3,76,26,8.583,9.433,
3,3,86,26,8.202,8.041,
3,3,86,26,6.812,8.086,
3,3,86,26,7.068,8.162,
3,3,86,26,7.409,7.199,
3,3,86,26,6.416,6.168,
3,3,86,26,7.347,7.542,
3,3,86,26,7.341,7.67,
3,3,86,26,7.616,7.563,
3,3,86,26,8.129,8.23,
3,3,86,26,6.964,7.561,
31,124,3,28,12.481,13.127,
31,124,3,28,13.616,12.274,
31,124,3,28,12.585,12.19,
31,124,3,28,11.351,11.328,
31,124,3,28,10.777,11.061,
31,124,3,28,12.198,11.261,
31,124,3,28,11.846,11.491,
31,124,3,28,13.035,12.666,
31,124,3,28,11.051,10.513,
31,124,3,28,12.229,12.881,
31,124,76,28,14.036,13.414,
31,124,76,28,11.662,10.965,
31,124,76,28,11.488,10.691,
31,124,76,28,10.946,10.032,
31,124,76,28,11.251,10.174,
31,124,76,28,12.074,11.682,
31,124,76,28,11.41,11.742,
31,124,76,28,12.88,12.293,
31,124,76,28,8.718,9.794,
31,124,76,28,10.168,9.501,
31,124,86,28,10.106,9.501,
31,124,86,28,10.068,9.607,
31,124,86,28,9.771,10.466,
31,124,86,28,10.535,9.924,
31,124,86,28,10,10.001,
31,124,86,28,11.323,11.149,
31,124,86,28,10.557,10.814,
31,124,86,28,10.616,9.954,
31,124,86,28,10.316,9.636,
31,124,86,28,11.475,11.929,
3,3,3,31,12.547,12.612,
3,3,3,31,12.985,14.249,
3,3,3,31,11.706,12.396,
3,3,3,31,14.41,14.763,
3,3,3,31,14.643,14.693,
3,3,3,31,14.397,14.328,
3,3,3,31,13.642,14.41,
3,3,3,31,12.423,13.216,
3,3,3,31,14.628,14.283,
3,3,3,31,14.045,14.775,
3,3,76,31,5.764,6.44,
3,3,76,31,5.698,5.632,
3,3,76,31,7.89,7.419,
3,3,76,31,6.597,6.926,
3,3,76,31,6.364,6.185,
3,3,76,31,6.655,7.035,
3,3,76,31,6.416,6.63,
3,3,76,31,7.01,6.955,
3,3,76,31,,7.324,
3,3,76,31,6.482,6.971,
3,3,86,31,6.449,7.011,
3,3,86,31,6.086,7.035,
3,3,86,31,6.189,6.653,
3,3,86,31,7.249,7.622,
3,3,86,31,6.397,7.39,
3,3,86,31,6.648,6.582,
3,3,86,31,6.375,6.797,
3,3,86,31,6.257,6.079,
3,3,86,31,6.799,7.126,
3,3,86,31,6.36,7.033,
10,103,3,32,8.878,9.207,
10,103,3,32,7.133,7.522,
10,103,3,32,7.766,7.629,
10,103,3,32,7.763,8.045,
10,103,3,32,6.769,6.121,
10,103,3,32,7.722,7.361,
10,103,3,32,8.112,8.641,
10,103,3,32,6.113,6.442,
10,103,3,32,6.149,6.638,
10,103,3,32,8.294,8.084,
10,103,76,32,6.089,6.311,
10,103,76,32,5.497,5.49,
10,103,76,32,5.442,5.739,
10,103,76,32,5.592,5.55,
10,103,76,32,,4.689,
10,103,76,32,5.838,5.691,
10,103,76,32,6.225,5.965,
10,103,76,32,5.226,5.487,
10,103,76,32,6.148,6.214,
10,103,76,32,5.035,5.167,
10,103,86,32,4.801,4.927,
10,103,86,32,5.015,5.551,
10,103,86,32,4.787,4.979,
10,103,86,32,5.22,4.798,
10,103,86,32,4.536,4.849,
10,103,86,32,4.445,4.746,
10,103,86,32,3.956,3.918,
10,103,86,32,4.484,4.65,
10,103,86,32,5.52,5.137,
10,103,86,32,4.1,4.273,
32,125,3,38,10.481,9.533,
32,125,3,38,9.025,8.8,
32,125,3,38,9.7,9.002,
32,125,3,38,10.182,9.422,
32,125,3,38,9.457,8.834,
32,125,3,38,10.403,9.749,
32,125,3,38,8.461,8.007,
32,125,3,38,8.545,8.175,
32,125,3,38,6.49,5.9,
32,125,3,38,9.615,8.81,
32,125,76,38,7.248,6.448,
32,125,76,38,7.401,6.916,
32,125,76,38,7.545,7.184,
32,125,76,38,7.045,6.832,
32,125,76,38,5.821,5.717,
32,125,76,38,5.988,5.532,
32,125,76,38,6.291,5.694,
32,125,76,38,7.093,6.472,
32,125,76,38,7.472,7.09,
32,125,76,38,7.214,,
32,125,86,38,4.175,4.042,
32,125,86,38,5.502,5.338,
32,125,86,38,5.942,5.516,
32,125,86,38,5.941,5.69,
32,125,86,38,4.469,3.857,
32,125,86,38,5.869,5.52,
32,125,86,38,6.542,6.106,
32,125,86,38,5.342,5.13,
32,125,86,38,6.494,6.067,
32,125,86,38,5.821,5.231,
33,126,3,40,12.77,12.628,
33,126,3,40,15.246,14.858,
33,126,3,40,16.051,16.146,
33,126,3,40,17.392,17.262,
33,126,3,40,16.369,15.839,
33,126,3,40,17.072,17.214,
33,126,3,40,14.984,14.804,
33,126,3,40,13.215,13.049,
33,126,3,40,16.39,15.728,
33,126,3,40,14.951,14.876,
33,126,76,40,11.713,11.359,
33,126,76,40,12.78,12.613,
33,126,76,40,11.025,9.649,
33,126,76,40,12.017,11.862,
33,126,76,40,12.582,12.499,
33,126,76,40,12.201,12.132,
33,126,76,40,11.915,11.694,
33,126,76,40,11.858,12.606,
33,126,76,40,11.447,11.508,
33,126,76,40,12.006,11.957,
33,126,86,40,10.195,10.1,
33,126,86,40,10.71,11.068,
33,126,86,40,12.231,12.16,
33,126,86,40,9.492,9.257,
33,126,86,40,10.29,10.003,
33,126,86,40,9.444,9.106,
