Block,Box,MenEx,DGRP,Weight,No. Flies,MenRep1,MenRep2,MenRep3,Average
1,1,3,129,3.42,4,,22.062,22.116,22.089
1,1,3,129,3.43,4,19.13,19.159,19.432,19.24033333
1,1,3,129,3.45,4,19.811,20.003,19.694,19.836
1,1,3,129,3.48,4,20.93,21.501,20.709,21.04666667
1,1,3,129,3.51,4,19.873,20.678,20.304,20.285
1,1,3,129,3.54,4,19.859,18.772,19.987,19.53933333
1,1,3,129,3.55,4,20.721,21.152,20.936,20.93633333
1,1,3,129,3.56,4,20.614,NA,21.912,21.263
1,1,3,129,3.57,4,19.668,20.103,20.675,20.14866667
1,1,3,129,3.65,4,20.889,20.627,,20.758
1,1,76,129,3.19,4,11.96,NA,12.745,12.3525
1,1,76,129,3.24,4,14.506,15.155,14.074,14.57833333
1,1,76,129,3.24,4,12.299,12.676,12.61,12.52833333
1,1,76,129,3.25,4,13.121,13.766,14.429,13.772
1,1,76,129,3.29,4,14.569,14.283,15.419,14.757
1,1,76,129,3.39,4,14.212,13.984,14.455,14.217
1,1,76,129,3.39,4,15.187,15.05,15.402,15.213
1,1,76,129,3.44,4,15.174,,15.854,15.514
1,1,76,129,3.54,4,14.905,14.926,14.891,14.90733333
1,1,76,129,3.54,4,15.61,15.554,15.687,15.617
1,1,86,129,3.45,4,12.979,12.36,13.582,12.97366667
1,1,86,129,3.46,4,14.196,13.709,14.99,14.29833333
1,1,86,129,3.53,4,13.652,13.825,14.033,13.83666667
1,1,86,129,3.54,4,12.907,13.45,13.36,13.239
1,1,86,129,3.55,4,12.743,13,13.448,13.06366667
1,1,86,129,3.55,4,13.505,13.501,13.278,13.428
1,1,86,129,3.56,4,,14.247,14.232,14.2395
1,1,86,129,3.65,4,,14.818,14.62,14.719
1,1,3,136,3.13,4,13.878,13.237,13.826,13.647
1,1,3,136,3.24,4,12.748,13.296,13.356,13.13333333
1,1,3,136,3.29,4,13.311,12.932,13.299,13.18066667
1,1,3,136,3.31,4,13.829,13.784,14.37,13.99433333
1,1,3,136,3.34,4,13.598,,13.452,13.525
1,1,3,136,3.38,4,14.767,15.216,15.672,15.21833333
1,1,3,136,3.38,4,17.85,17.224,17.506,17.52666667
1,1,3,136,3.41,4,14.57,14.324,15.537,14.81033333
1,1,3,136,3.43,4,17.461,16.984,17.909,17.45133333
1,1,3,136,3.48,4,15.991,15.994,16.198,16.061
1,1,76,136,3.17,4,5.725,6.906,7.458,6.696333333
1,1,76,136,3.19,4,8.462,9.082,8.888,8.810666667
1,1,76,136,3.22,4,8.313,8.09,8.539,8.314
1,1,76,136,3.3,4,7.918,8.524,8.278,8.24
1,1,76,136,3.32,4,11.182,10.888,11.056,11.042
1,1,76,136,3.34,4,9.36,9.791,9.736,9.629
1,1,76,136,3.35,4,,9.734,9.676,9.705
1,1,76,136,3.36,4,11.268,11.401,11.472,11.38033333
1,1,76,136,3.37,4,9.841,9.691,8.952,9.494666667
1,1,76,136,3.39,4,,11.203,11.123,11.163
1,1,86,136,3.3,4,,7.873,7.871,7.872
1,1,86,136,3.31,4,8.3,8.49,8.617,8.469
1,1,86,136,3.33,4,9.45,9.742,9.662,9.618
1,1,86,136,3.36,4,7.848,7.629,8.035,7.837333333
1,1,86,136,3.39,4,8.672,9.013,9.622,9.102333333
1,1,86,136,3.41,4,,8.305,8.734,8.5195
1,1,86,136,3.47,4,8.09,8.255,8.336,8.227
1,1,3,142,3.41,4,17.996,17.58,17.501,17.69233333
1,1,3,142,3.42,4,17.245,17.623,17.826,17.56466667
1,1,3,142,3.51,4,18.762,19.195,20.531,19.496
1,1,3,142,3.51,4,17.602,18.046,18.531,18.05966667
1,1,3,142,3.52,4,19.63,20.979,20.41,20.33966667
1,1,3,142,3.57,4,,18.988,19.143,19.0655
1,1,3,142,3.59,4,18.933,19.515,19.55,19.33266667
1,1,3,142,3.6,4,,19.116,19.417,19.2665
1,1,76,142,3.01,4,10.969,11.274,11.756,11.333
1,1,76,142,3.01,4,10.771,10.777,,10.774
1,1,76,142,3.05,4,11.765,10.601,12.27,11.54533333
1,1,76,142,3.07,4,11.216,10.609,10.46,10.76166667
1,1,76,142,3.08,4,10.469,11.687,12.347,11.501
1,1,76,142,3.1,4,11.679,12.377,12.262,12.106
1,1,76,142,3.1,4,10.856,11.381,11.339,11.192
1,1,76,142,3.14,4,12.084,11.455,11.485,11.67466667
1,1,76,142,3.22,4,13.087,12.278,11.842,12.40233333
1,1,76,142,3.33,4,12.697,13.551,13.15,13.13266667
1,1,86,142,2.49,3,9.44,9.683,9.819,9.647333333
1,1,86,142,3.29,4,9.265,9.451,10.085,9.600333333
1,1,86,142,3.3,4,11.106,10.9,11.829,11.27833333
1,1,86,142,3.34,4,11.875,12.135,12.419,12.143
1,1,86,142,3.37,4,10.91,10.587,10.582,10.693
1,1,86,142,3.4,4,12.51,12.487,12.655,12.55066667
1,1,86,142,3.41,4,11.564,10.865,11.212,11.21366667
1,1,86,142,3.42,4,9.235,9.947,10.406,9.862666667
1,1,86,142,3.42,4,9.546,10.1,10.708,10.118
1,1,86,142,3.43,4,10.339,10.004,10.655,10.33266667
2,2,3,88,3.26,4,13.154,14.131,,13.6425
2,2,3,88,3.42,4,12.113,12.758,,12.4355
2,2,3,88,3.49,4,16.016,15.312,,15.664
2,2,3,88,3.51,4,15.336,15.904,,15.62
2,2,3,88,3.52,4,15.242,15.321,,15.2815
2,2,3,88,3.54,4,16.075,15.725,,15.9
2,2,3,88,3.58,4,18.15,17.524,,17.837
2,2,3,88,3.61,4,16.761,16.975,,16.868
2,2,3,88,3.63,4,15.079,15.132,,15.1055
2,2,3,88,3.81,4,14.937,16.243,,15.59
2,2,76,88,3.28,4,7.679,8.168,,7.9235
2,2,76,88,3.29,4,6.813,7.631,,7.222
2,2,76,88,3.31,4,6.921,7.874,,7.3975
2,2,76,88,3.34,4,10.056,9.857,,9.9565
2,2,76,88,3.38,4,9.153,9.525,,9.339
2,2,76,88,3.41,4,9.191,9.623,,9.407
2,2,76,88,3.42,4,10.651,10.511,,10.581
2,2,76,88,3.43,4,10.271,,,10.271
2,2,76,88,3.53,4,11.406,11.225,,11.3155
2,2,76,88,3.55,4,9.025,9.425,,9.225
2,2,86,88,3.19,4,6.996,7.57,,7.283
2,2,86,88,3.23,4,6.977,7.483,,7.23
2,2,86,88,3.23,4,,7.713,,7.713
2,2,86,88,3.26,4,8.057,8.222,,8.1395
2,2,86,88,3.27,4,7.848,8.01,,7.929
2,2,86,88,3.29,4,8.559,8.34,,8.4495
2,2,86,88,3.3,4,9.487,9.399,,9.443
