"","PosteriorMean","PosteriorL","PosteriorU"
"MenEx86.DGRP.21",0.566327259843822,0.489971891289866,0.639155627180128
"MenEx86.DGRP.26",0.482463945030352,0.405957858027733,0.553183297924047
"MenEx86.DGRP.28",0.867340696934555,0.801020973283648,0.936462263968884
"MenEx86.DGRP.31",0.498518628939757,0.41545306626272,0.58192509677544
"MenEx86.DGRP.32",0.702964007241471,0.584378249003671,0.809226887882739
"MenEx86.DGRP.38",0.680676308580629,0.573354056831628,0.77520632528915
"MenEx86.DGRP.40",0.672987709360775,0.61176689825808,0.733855057000867
"MenEx86.DGRP.45",0.747803276263389,0.6740084922252,0.820840479800627
"MenEx86.DGRP.57",0.78252704615991,0.685761050463006,0.872443614888893
"MenEx86.DGRP.59",0.52885750906821,0.463368598321264,0.592341550509116
"MenEx86.DGRP.69",0.596672976266636,0.509844890085691,0.682243549968754
"MenEx86.DGRP.75",0.674455503466429,0.574601568324501,0.762123476716406
"MenEx86.DGRP.83",0.720357114698214,0.633241768794433,0.806588255240429
"MenEx86.DGRP.85",0.640895263763699,0.548977169486456,0.722314620166549
"MenEx86.DGRP.88",0.506144555106033,0.428306649314528,0.582055705032438
"MenEx86.DGRP.91",0.66954139677422,0.609946342167224,0.727964789992475
"MenEx86.DGRP.93",0.506828092869202,0.442345553004905,0.572939347177422
"MenEx86.DGRP.100",0.643554678808095,0.578988190334784,0.709096551753896
"MenEx86.DGRP.101",0.453586666441642,0.375390420795831,0.527042147763202
"MenEx86.DGRP.105",0.703941656214325,0.6201005010712,0.789280688102368
"MenEx86.DGRP.109",0.641508262452252,0.588392057451029,0.693883233716909
"MenEx86.DGRP.129",0.647406000441407,0.589314908833702,0.702447975985058
"MenEx86.DGRP.136",0.532088059774123,0.43468376154129,0.623042665047036
"MenEx86.DGRP.142",0.541452559142823,0.468772118889588,0.609461390254059
"MenEx86.DGRP.149",0.597462672437,0.525989312000656,0.666213731361062
"MenEx86.DGRP.153",0.665819271410786,0.571091443168939,0.751299360938986
"MenEx86.DGRP.181",0.687718745901543,0.606255907305575,0.770232826724898
"MenEx86.DGRP.189",0.55655639262621,0.489042450919192,0.621591815069467
"MenEx86.DGRP.195",0.586098079402746,0.47300413806785,0.684741094433358
"MenEx86.DGRP.208",0.777493353430224,0.715820464516665,0.837600645262455
"MenEx86.DGRP.217",0.830961465732667,0.733302821437186,0.924713306444848
"MenEx86.DGRP.228",0.645074186750354,0.54599784008604,0.741144281764365
